0.093 0.380343 -nan -nan 7.16985 0.127048 -nan -nan 0.817984 -nan -nan 3 -nan -nan
0.02604 0.0936861 5.36197 -1820.68 2.54063 0.269531 0.530873 1.06175 0.0583687 3.61813 9.32732 1 21.068 5.06651
0.02511 0.0891091 5.23334 -1821.19 2.43602 0.276114 0.567774 1.13555 0.0553474 3.56296 9.34929 1 20.3458 4.94165
0.02418 0.0845728 5.10181 -1821.71 2.32834 0.283113 0.608477 1.21695 0.0524328 3.51021 9.37848 1 19.6745 4.82642
0.02325 0.0800837 4.96725 -1822.24 2.21732 0.29057 0.653558 1.30712 0.0496225 3.45995 9.41549 1 19.0528 4.72088
0.02232 0.0756481 4.82952 -1822.77 2.10261 0.298533 0.703707 1.40741 0.0469152 3.41227 9.46103 1 18.4807 4.62525
0.02139 0.0712727 4.68844 -1823.3 1.98386 0.307056 0.759752 1.5195 0.0443086 3.36725 9.51583 1 17.9574 4.5397
0.02046 0.0669644 4.54382 -1823.85 1.86064 0.316204 0.822691 1.64538 0.0418003 3.32496 9.5806 1 17.482 4.46431
0.01953 0.0627299 4.39542 -1824.4 1.73248 0.32605 0.893738 1.78748 0.0393884 3.28547 9.65623 1 17.0542 4.39934
0.0186 0.0585764 4.243 -1824.95 1.5988 0.336681 0.974376 1.94875 0.0370704 3.24885 9.74362 1 16.6734 4.34499
0.01767 0.0545108 4.08624 -1825.52 1.45897 0.348199 1.06644 2.13287 0.0348436 3.21514 9.84372 1 16.3389 4.30144
0.01674 0.05054 3.92477 -1826.09 1.3122 0.360723 1.1722 2.3444 0.0327057 3.18442 9.95764 1 16.0507 4.26902
0.01581 0.046671 3.75817 -1826.67 1.15758 0.3744 1.29455 2.5891 0.0306537 3.15674 10.0866 1 15.8085 4.24807
0.01488 0.0429106 3.58591 -1827.26 0.994008 0.389401 1.43717 2.87434 0.0286848 3.13217 10.232 1 15.6126 4.23905
0.01395 0.0392651 3.40738 -1827.86 0.820137 0.405941 1.60484 3.20969 0.0267958 3.11079 10.3956 1 15.4637 4.24265
0.01302 0.035741 3.22181 -1828.47 0.634314 0.424278 1.80393 3.60787 0.0249833 3.09277 10.5795 1 15.3638 4.25988
0.01209 0.0323441 3.02826 -1829.09 0.434468 0.444736 2.04309 4.08618 0.0232435 3.07834 10.7866 1 15.3165 4.29231
0.01116 0.0290798 2.82556 -1829.73 0.21795 0.467724 2.33444 4.66887 0.0215723 3.06794 11.0209 1 15.3289 4.34256
